rank,layer,neuron_idx,score,direction
1,6,2566,2.0689,+
2,6,1398,1.9106,-
3,6,1680,1.8967,-
4,6,2704,1.8769,+
5,6,1459,1.8523,+
6,6,514,1.8312,-
7,6,3772,1.7917,+
8,6,885,1.7794,+
9,6,3882,1.7478,-
10,6,1630,1.7440,+
11,6,3790,1.7231,-
12,6,3526,1.7220,-
13,6,3450,1.7037,-
14,6,3711,1.6953,-
15,6,3238,1.6942,+
16,6,3217,1.6835,-
17,6,3364,1.6813,-
18,6,3120,1.6532,-
19,6,35,1.6516,+
20,6,2785,1.6515,-
21,6,2560,1.6486,-
22,6,723,1.6422,+
23,6,2103,1.6410,+
24,6,2401,1.6251,-
25,6,1024,1.6204,-
26,6,1548,1.6164,+
27,6,826,1.6151,+
28,6,1238,1.6147,-
29,6,221,1.6133,+
30,6,3365,1.6113,+
31,6,1094,1.6106,-
32,6,3928,1.6084,-
33,6,2050,1.6033,-
34,6,61,1.5915,+
35,6,1268,1.5893,-
36,6,2944,1.5864,+
37,6,3843,1.5706,-
38,6,1262,1.5666,+
39,6,2843,1.5634,-
40,6,3140,1.5589,-
41,6,1818,1.5589,+
42,6,3175,1.5563,-
43,6,4057,1.5349,+
44,6,3162,1.5344,-
45,6,2609,1.5298,-
46,6,3408,1.5248,-
47,6,1521,1.5225,-
48,6,3904,1.5049,+
49,6,2947,1.5013,-
50,6,2563,1.4930,-
51,6,3022,1.4835,-
52,6,2730,1.4833,-
53,6,1659,1.4755,-
54,6,2608,1.4729,+
55,6,3998,1.4687,+
56,6,1018,1.4677,+
57,6,4072,1.4662,-
58,6,3599,1.4627,-
59,6,2455,1.4592,-
60,6,2357,1.4591,-
61,6,890,1.4566,-
62,6,3888,1.4551,+
63,6,2378,1.4543,+
64,6,273,1.4502,-
65,6,3669,1.4485,+
66,6,2115,1.4434,-
67,6,2987,1.4419,+
68,6,110,1.4419,-
69,6,2589,1.4389,-
70,6,246,1.4348,+
71,6,2816,1.4345,+
72,6,181,1.4293,-
73,6,1496,1.4249,-
74,6,4065,1.4247,+
75,6,268,1.4240,-
76,6,3448,1.4229,+
77,6,455,1.4218,-
78,6,2457,1.4206,+
79,6,810,1.4202,-
80,6,2974,1.4173,+
81,6,1556,1.4140,+
82,6,3325,1.4111,+
83,6,3847,1.4108,+
84,6,3563,1.4067,+
85,6,532,1.4038,-
86,6,1872,1.4002,+
87,6,990,1.3999,-
88,6,137,1.3995,-
89,6,3234,1.3982,+
90,6,2164,1.3981,-
91,6,1282,1.3958,+
92,6,2168,1.3948,+
93,6,1823,1.3926,+
94,6,2853,1.3873,+
95,6,4061,1.3853,-
96,6,1720,1.3852,-
97,6,487,1.3849,-
98,6,11,1.3829,-
99,6,1954,1.3821,-
100,6,1265,1.3799,+
