rank,layer,neuron_idx,score,direction
1,6,1832,1.5110,+
2,6,1296,1.3655,+
3,6,1398,1.3106,-
4,6,3450,1.2965,-
5,6,3526,1.1420,-
6,6,503,1.1191,-
7,6,35,1.1173,+
8,6,221,1.1123,+
9,6,1459,1.1012,+
10,6,3191,1.1007,+
11,6,3843,1.0982,-
12,6,2889,1.0919,+
13,6,1312,1.0843,-
14,6,2103,1.0838,+
15,6,85,1.0775,+
16,6,1336,1.0672,-
17,6,1630,1.0576,+
18,6,1752,1.0552,+
19,6,514,1.0511,-
20,6,3966,1.0355,+
21,6,2616,1.0351,+
22,6,1972,1.0328,-
23,6,2606,1.0312,-
24,6,1818,1.0249,+
25,6,11,1.0239,-
26,6,3882,1.0203,-
27,6,1607,1.0201,-
28,6,630,1.0194,+
29,6,424,1.0131,-
30,6,1670,1.0120,-
31,6,4004,1.0105,+
32,6,4072,1.0079,-
33,6,2068,1.0076,-
34,6,886,0.9985,+
35,6,1521,0.9984,-
36,6,3275,0.9932,+
37,6,2648,0.9883,+
38,6,3503,0.9843,+
39,6,1217,0.9810,-
40,6,1091,0.9725,+
41,6,1855,0.9719,+
42,6,1238,0.9645,-
43,6,3790,0.9639,-
44,6,766,0.9634,-
45,6,461,0.9630,+
46,6,656,0.9627,+
47,6,287,0.9586,-
48,6,977,0.9530,+
49,6,3772,0.9507,-
50,6,1621,0.9403,+
51,6,453,0.9346,+
52,6,1821,0.9316,-
53,6,1072,0.9306,-
54,6,1820,0.9306,+
55,6,4018,0.9300,-
56,6,3256,0.9286,+
57,6,2890,0.9285,+
58,6,3209,0.9271,+
59,6,2665,0.9233,+
60,6,2019,0.9213,-
61,6,750,0.9199,-
62,6,2793,0.9178,-
63,6,3658,0.9155,+
64,6,2724,0.9143,-
65,6,2509,0.9044,+
66,6,826,0.9039,+
67,6,1450,0.9025,+
68,6,890,0.8982,-
69,6,2177,0.8975,-
70,6,2108,0.8971,-
71,6,91,0.8962,+
72,6,3976,0.8959,-
73,6,2567,0.8943,+
74,6,1395,0.8939,-
75,6,2947,0.8877,-
76,6,2746,0.8872,-
77,6,1728,0.8862,-
78,6,2867,0.8860,-
79,6,1767,0.8844,+
80,6,295,0.8842,+
81,6,4082,0.8838,+
82,6,541,0.8823,+
83,6,3448,0.8757,+
84,6,4068,0.8755,+
85,6,1745,0.8753,+
86,6,3459,0.8725,+
87,6,2563,0.8701,-
88,6,1856,0.8697,-
89,6,137,0.8610,-
90,6,2050,0.8605,-
91,6,983,0.8600,-
92,6,2516,0.8593,+
93,6,1073,0.8559,-
94,6,3970,0.8531,+
95,6,3741,0.8522,-
96,6,1255,0.8487,-
97,6,2164,0.8473,-
98,6,1653,0.8461,+
99,6,2940,0.8448,-
100,6,4042,0.8446,+
